Rank,Team Name,Team,Wins,Losses,Win %
1,Oklahoma City Thunder,OKC,64,18,0.78
2,San Antonio Spurs,SAS,62,20,0.756
3,Detroit Pistons,DET,60,22,0.732
4,Boston Celtics,BOS,56,26,0.683
5,Denver Nuggets,DEN,54,28,0.659
6,New York Knicks,NYK,53,29,0.646
7,Los Angeles Lakers,LAL,53,29,0.646
8,Cleveland Cavaliers,CLE,52,30,0.634
9,Houston Rockets,HOU,52,30,0.634
10,Minnesota Timberwolves,MIN,49,33,0.598
11,Toronto Raptors,TOR,46,36,0.561
12,Atlanta Hawks,ATL,46,36,0.561
13,Phoenix Suns,PHX,45,37,0.549
14,Philadelphia 76ers,PHI,45,37,0.549
15,Orlando Magic,ORL,45,37,0.549
16,Charlotte Hornets,CHA,44,38,0.537
17,Miami Heat,MIA,43,39,0.524
18,Portland Trail Blazers,POR,42,40,0.512
19,Los Angeles Clippers,LAC,42,40,0.512
20,Golden State Warriors,GSW,37,45,0.451
21,Milwaukee Bucks,MIL,32,50,0.39
22,Chicago Bulls,CHI,31,51,0.378
23,New Orleans Pelicans,NOP,26,56,0.317
24,Dallas Mavericks,DAL,26,56,0.317
25,Memphis Grizzlies,MEM,25,57,0.305
26,Sacramento Kings,SAC,22,60,0.268
27,Utah Jazz,UTA,22,60,0.268
28,Brooklyn Nets,BKN,20,62,0.244
29,Indiana Pacers,IND,19,63,0.232
30,Washington Wizards,WAS,17,65,0.207
